sample	age	phenotype_age
SP0733	23	32.2061666666667
SP0734	25	23.2665
SP0735	27	23.9512
SP0736	23	23.7993333333333
SP0737	23	25.3083
SP0738	30	29.4116333333333
SP0739	21	27.1263666666667
SP0740	24	27.4842
SP0741	24	30.5946333333333
SP0742	25	28.2069333333333
SP0743	31	27.1518333333333
SP0744	26	30.7695666666667
SP0745	24	29.4578333333334
SP0746	25	23.9427333333333
SP0747	31	24.6659333333333
SP0748	28	39.9671666666666
SP0749	31	33.3993666666667
SP0750	32	28.7998
SP0751	66	58.3242
SP0752	29	38.8016
SP0753	30	28.6406
SP0754	49	35.8955666666667
SP0755	30	28.9250333333333
SP0756	24	23.7352
SP0757	22	25.3177333333333
SP0758	32	29.9501333333333
SP0759	23	30.0310333333334
SP0760	33	27.8855666666667
SP0761	40	28.3147666666667
SP0762	28	29.1659666666667
SP0763	32	33.1547666666666
SP0764	21	27.8682333333333
SP0765	32	29.8646
SP0766	37	30.6295333333333
SP0767	33	23.8071333333333
SP0768	64	42.4614
SP0769	31	27.9298666666667
SP0770	28	29.2985666666667
SP0771	30	28.2239333333333
SP0772	32	30.4238333333333
SP0773	37	33.4885333333333
SP0774	29	30.1367
SP0775	58	53.0045333333333
SP0776	35	27.2295
SP0777	33	27.6055666666667
SP0778	26	28.5057666666667
SP0779	22	25.9335333333333
SP0780	29	25.0448333333333
SP0781	33	28.5599333333333
SP0782	36	31.5433666666667
SP0783	45	37.9877333333334
SP0784	32	27.5639666666667
SP0785	33	30.4431666666666
SP0786	27	28.3646333333333
SP0787	28	25.7179666666667
SP0788	36	25.1084
SP0789	33	27.4933666666666
SP0790	36	25.1890666666667
SP0791	27	28.3200666666666
SP0792	28	26.2139333333333
SP0793	45	32.4773333333333
SP0794	46	29.2300666666667
SP0795	39	28.0152666666667
SP0796	33	36.8091333333333
SP0797	28	31.5982
SP0798	27	27.5266666666667
SP0799	30	35.8702
SP0800	35	28.2505333333333
SP0801	34	27.5247666666667
SP0802	42	28.3231
SP0803	35	26.3867333333333
SP0804	27	28.1608333333333
SP0805	43	24.1011
SP0806	30	25.7286666666667
SP0807	27	33.9188
SP0808	27	28.3385333333333
SP0809	23	23.9643
SP0810	30	23.7660333333333
SP0811	24	28.6103666666667
SP0812	24	22.8728666666667
SP0813	22	25.0979333333333
SP0814	58	52.4366666666667
SP0815	63	52.6647
SP0816	24	25.3899333333333
SP0817	27	24.4838666666666
SP0818	21	24.4423666666667
SP0819	18	24.024
SP0820	19	42.3404333333333
SP0821	20	25.4757333333333
SP0822	19	21.5858333333333
SP0823	21	23.1847
SP0824	21	23.8018666666667
SP0825	20	24.9808333333333
SP0826	20	22.9332333333333
SP0827	24	24.0589
SP0828	23	27.2068666666667
SP0829	52	27.5784666666667
SP0830	31	23.1705333333333
SP0831	23	27.2044
SP0832	28	29.388
SP0833	28	25.8947
SP0834	24	28.4533
SP0835	24	24.5112333333333
SP0836	31	23.1584666666667
SP0837	33	26.8734333333333
SP0838	39	23.2563333333333
